기간,대분류,분류,대중교통 이용만족도,버스,지하철,택시
2016,서울시,서울시,6.39,6.86,6.71,5.6
2016,성별,남자,6.37,6.83,6.64,5.62
2016,성별,여자,6.42,6.88,6.77,5.58
2016,연령별,10대,6.57,7.05,6.74,5.76
2016,연령별,20대,6.29,6.63,6.63,5.58
2016,연령별,30대,6.47,7.02,6.83,5.54
2016,연령별,40대,6.28,6.77,6.6,5.52
2016,연령별,50대,6.38,6.77,6.73,5.63
2016,연령별,60대 이상,6.46,6.97,6.71,5.67
2016,학력별,중졸 이하,6.47,7.09,6.57,5.68
2016,학력별,고졸 이하,6.47,6.92,6.8,5.65
2016,학력별,대졸 이하,6.34,6.79,6.67,5.56
2016,학력별,대학원 이상,6.39,6.8,6.86,5.51
2016,소득별,100 만원 미만,6.5,7.15,6.79,5.57
2016,소득별,100-200만 미만,6.21,6.78,6.59,5.2
2016,소득별,200-300만 미만,6.58,7.2,6.82,5.7
2016,소득별,300-400만 미만,6.55,7.09,6.83,5.68
2016,소득별,400-500만 미만,6.38,6.83,6.6,5.71
2016,소득별,500만 이상,6.28,6.62,6.69,5.54
2016,혼인상태별,기혼,6.34,6.83,6.66,5.55
2016,혼인상태별,미혼,6.4,6.84,6.72,5.6
2016,혼인상태별,이혼/별거,6.54,6.84,6.88,5.86
2016,혼인상태별,사별,6.68,7.17,6.93,5.9
2016,지역대분류,도심권,6.36,6.7,6.83,5.53
2016,지역대분류,동북권,6.44,6.85,6.77,5.66
2016,지역대분류,서북권,6.38,6.94,6.83,5.33
2016,지역대분류,서남권,6.41,6.88,6.68,5.67
2016,지역대분류,동남권,6.31,6.82,6.53,5.58
2016,종로구,종로구,6.49,6.77,7.05,5.65
2016,중구,중구,6.47,7,6.81,5.57
2016,용산구,용산구,6.2,6.46,6.7,5.42
2016,성동구,성동구,6.44,6.95,6.55,5.74
2016,광진구,광진구,6.49,6.98,7.1,5.3
2016,동대문구,동대문구,6.59,7.15,6.99,5.56
2016,중랑구,중랑구,6.36,6.66,6.73,5.67
2016,성북구,성북구,6.32,6.76,6.56,5.62
2016,강북구,강북구,6.18,6.62,6.42,5.48
2016,도봉구,도봉구,6.61,6.94,6.97,5.92
2016,노원구,노원구,6.52,6.81,6.83,5.89
2016,은평구,은평구,6.36,6.94,6.83,5.27
2016,서대문구,서대문구,6.52,7.03,6.99,5.51
2016,마포구,마포구,6.28,6.87,6.7,5.27
2016,양천구,양천구,6.24,6.85,6.26,5.61
2016,강서구,강서구,6.62,7.05,7.26,5.54
2016,구로구,구로구,6.47,7.05,6.72,5.62
2016,금천구,금천구,6.59,7.1,6.86,5.77
2016,영등포구,영등포구,6.38,6.86,6.87,5.4
2016,동작구,동작구,6.31,6.73,6.5,5.71
2016,관악구,관악구,6.31,6.6,6.27,6.03
2016,서초구,서초구,6.35,6.96,6.56,5.53
2016,강남구,강남구,6.45,6.95,6.68,5.71
2016,송파구,송파구,6.2,6.62,6.37,5.61
2016,강동구,강동구,6.27,6.81,6.56,5.43
2005,서울시,서울시,5.52,5.61,6.26,4.7
2005,성별,남자,5.5,5.58,6.26,4.66
2005,성별,여자,5.54,5.64,6.27,4.73
2005,연령별,10대,5.64,5.68,6.37,4.88
2005,연령별,20대,5.5,5.6,6.25,4.64
2005,연령별,30대,5.31,5.39,6.08,4.45
2005,연령별,40대,5.54,5.66,6.24,4.72
2005,연령별,50대,5.7,5.84,6.48,4.78
2005,연령별,60대 이상,5.66,5.64,6.35,4.98
2005,학력별,중졸 이하,5.59,5.65,6.22,4.88
2005,학력별,고졸 이하,5.59,5.65,6.33,4.78
2005,학력별,전문대 이하,5.4,5.51,6.1,4.59
2005,학력별,4년제 이하,5.47,5.6,6.28,4.54
2005,학력별,대학원 이상,5.32,5.38,6.26,4.32
2005,소득별,100 만원 미만,5.48,5.6,6.12,4.71
2005,소득별,100-200만 미만,5.51,5.55,6.24,4.73
2005,소득별,200-300만 미만,5.49,5.58,6.22,4.68
2005,소득별,300-400만 미만,5.58,5.69,6.3,4.76
2005,소득별,400-500만 미만,5.59,5.66,6.44,4.68
2005,소득별,500만 이상,5.51,5.61,6.33,4.58
2005,혼인상태별,기혼,5.52,5.59,6.28,4.7
2005,혼인상태별,미혼,5.53,5.65,6.27,4.67
2005,혼인상태별,이혼/별거,5.47,5.57,6.23,4.62
2005,혼인상태별,사별,5.51,5.57,6.09,4.89
2005,지역대분류,도심권,5.93,6.08,6.67,5.03
2005,지역대분류,동북권,5.51,5.68,6.27,4.58
2005,지역대분류,서북권,5.57,5.64,6.42,4.65
2005,지역대분류,서남권,5.4,5.46,6.04,4.7
2005,지역대분류,동남권,5.6,5.57,6.39,4.82
